customer_id,customer_code,customer_name,customer_type,industry,region_id
1,CUST-001,Nusantara Mart,Distributor,Retail,1
2,CUST-002,Sehat Farma,Enterprise,Healthcare,1
3,CUST-003,Java Wholesale,Distributor,Consumer Goods,2
4,CUST-004,Bandung Medika,Enterprise,Healthcare,3
5,CUST-005,Lion City Trade,Export,Retail,4
6,CUST-006,Malaya Essentials,Export,Consumer Goods,5
7,CUST-007,Siam Care Supply,Enterprise,Healthcare,6
8,CUST-008,Archipelago Foods,Enterprise,Food & Beverage,2
9,CUST-009,Pacific Hardware,Distributor,Manufacturing,4
10,CUST-010,Indo Retail Group,Key Account,Retail,1
11,CUST-011,Garuda Home Goods,Distributor,Consumer Goods,3
12,CUST-012,Mekar Industri,Enterprise,Manufacturing,2
