product_id,product_code,product_name,category,uom,principal,target_industry,standard_cost
1,PRD-001,Vitamin C Syrup,Pharma,BOTTLE,BioNusa,Healthcare,18.50
2,PRD-002,Pain Relief Tablet,Pharma,BOX,BioNusa,Healthcare,12.40
3,PRD-003,Mineral Water 600ml,Beverage,CASE,FreshWave,Food & Beverage,22.10
4,PRD-004,Sparkling Drink,Beverage,CASE,FreshWave,Retail,26.80
5,PRD-005,Household Cleaner,Home Care,BOX,Cleanera,Retail,15.30
6,PRD-006,Dishwashing Liquid,Home Care,BOTTLE,Cleanera,Retail,10.70
7,PRD-007,Industrial Solvent,Chemical,DRUM,ChemPro,Manufacturing,75.00
8,PRD-008,Lubricant Oil,Chemical,DRUM,ChemPro,Manufacturing,68.40
9,PRD-009,Snack Crackers,Food,CASE,Golden Bite,Consumer,14.90
10,PRD-010,Instant Noodles,Food,CASE,Golden Bite,Consumer,11.80
